City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,zhanaozen,43.3,52.8,8.41,58,100,4.44,KZ,1680425153
84,kavieng,-2.5744,150.7967,27.59,80,78,5.39,PG,1680425179
85,linguere,15.3953,-15.1193,31.23,7,80,8.47,SN,1680425205
86,sarangani,5.4033,125.4636,26.85,78,100,3.99,PH,1680425205
87,mount gambier,-37.8333,140.7667,11.23,77,36,4.1,AU,1680425100
88,oussouye,12.485,-16.5469,23.1,65,5,3.96,SN,1680425206
89,bluff,-46.6,168.3333,13.22,69,32,9.56,NZ,1680425164
90,onega,63.9061,38.1404,-0.36,79,34,5.76,RU,1680425208
91,waipawa,-41.4122,175.5153,13.39,75,16,9.77,NZ,1680425168
92,robertsport,6.7533,-11.3686,27.43,78,7,0.88,LR,1680425209
93,saldanha,-33.0117,17.9442,17.03,78,1,4.18,ZA,1680425178
94,namibe,-15.1961,12.1522,26.48,70,11,2.2,AO,1680425210
95,necochea,-38.5473,-58.7368,13.44,45,99,12.73,AR,1680425151
96,baruun-urt,46.6806,113.2792,-2.81,72,100,8.0,MN,1680425214
97,port alfred,-33.5906,26.891,23.99,78,0,5.81,ZA,1680425174
98,qaqortoq,60.7167,-46.0333,-9.44,68,97,5.56,GL,1680425215
99,castro,-24.7911,-50.0119,14.87,90,85,5.36,BR,1680425215
100,sibolga,1.7427,98.7792,26.23,83,100,0.89,ID,1680425103
101,cidreira,-30.1811,-50.2056,16.58,78,52,4.35,BR,1680425206
102,tuktoyaktuk,69.4541,-133.0374,-24.4,100,28,3.58,CA,1680425196
103,metro,-5.1131,105.3067,30.11,65,98,4.23,ID,1680425039
104,bandarbeyla,9.4942,50.8122,29.95,60,19,3.97,SO,1680425218
105,kongolo,-5.3833,27.0,27.73,67,82,2.45,CD,1680425220
106,katsuura,35.1333,140.3,13.36,76,100,11.69,JP,1680425222
107,provideniya,64.3833,-173.3,-18.45,90,37,2.27,RU,1680425184
